date,temp,pressure,wind_speed,wind_dir,sun_radiation,sca_radiation,nwp_tmp,nwp_rh,nwp_surfacepres,nwp_windspeed,nwp_winddir,nwp_shortwaveirrad,nwp_scatterirrad,nwp_directirrad,OT
2019/03/04 16:00,9.8,991.900024,0.6,231,0,0,8.94,49.55,993.26,2.63,291.41,0.0,0.0,0.0,0.0
2019/03/04 16:15,9.1,991.799988,0.6,153,0,0,8.7,50.05,993.1,2.69,286.85,0.0,0.0,0.0,0.0
2019/03/04 16:30,9.3,991.900024,0.7,154,0,0,8.49,50.47,993.12,2.75,282.1,0.0,0.0,0.0,0.0
2019/03/04 16:45,9.1,991.700012,0.5,156,0,0,8.33,50.76,993.18,2.8,276.14,0.0,0.0,0.0,0.0
2019/03/04 17:00,9.5,991.799988,0.8,175,0,0,8.22,50.91,993.3,2.86,267.24,0.0,0.0,0.0,0.0
2019/03/04 17:15,8.8,991.799988,0.8,191,0,0,8.13,51.05,993.27,2.99,259.57,0.0,0.0,0.0,0.0
2019/03/04 17:30,7.7,992.099976,0.7,179,0,0,8.06,51.14,993.15,3.16,253.26,0.0,0.0,0.0,0.0
2019/03/04 17:45,7.7,992.099976,1.1,147,0,0,8.0,51.15,993.22,3.36,249.6,0.0,0.0,0.0,0.0
2019/03/04 18:00,8.0,992.099976,1.0,199,0,0,7.94,51.18,993.14,3.57,247.93,0.0,0.0,0.0,0.0
2019/03/04 18:15,7.4,992.099976,0.9,181,0,0,7.87,51.18,993.02,3.76,246.89,0.0,0.0,0.0,0.0
2019/03/04 18:30,7.9,992.0,0.5,164,0,0,7.8,51.16,992.86,3.91,246.95,0.0,0.0,0.0,0.0
2019/03/04 18:45,7.7,991.900024,0.9,186,0,0,7.72,51.21,992.71,3.99,250.83,0.0,0.0,0.0,0.0
2019/03/04 19:00,7.3,991.799988,1.3,192,0,0,7.57,51.5,992.63,4.01,258.22,0.0,0.0,0.0,0.0
2019/03/05 08:00,18.700001,991.299988,2.5,302,466,192,16.41,13.05,995.35,9.29,17.73,406.17,43.28000000000003,362.89,13.48178
2019/03/05 08:15,18.4,991.200012,6.4,290,397,175,16.28,13.35,995.51,9.35,16.86,353.65,41.00999999999999,312.64,11.17944
2019/03/05 08:30,17.9,991.299988,3.0,309,357,155,16.15,13.66,995.54,9.37,16.02,317.29,39.27000000000004,278.02,9.865407
2019/03/05 08:45,18.1,991.400024,2.5,301,294,129,15.97,14.03,995.6,9.33,15.23,261.16,36.28000000000003,224.88,7.979344
2019/03/05 09:00,17.6,991.599976,5.3,314,223,102,15.78,14.44,995.71,9.19,14.75,223.01,33.94999999999999,189.06,6.103672
2019/03/05 09:15,17.5,991.799988,2.1,249,163,78,15.49,15.0,995.78,8.91,14.29,165.37,29.74000000000001,135.63,4.312656
2019/03/05 09:30,17.0,991.900024,2.1,1,110,57,15.19,15.65,995.9,8.43,13.58,127.2,26.3,100.9,2.701344
2019/03/05 09:45,16.6,992.299988,4.9,311,58,37,14.72,16.58,996.02,7.78,12.68,71.79,19.570000000000007,52.22,1.381789
2019/03/05 10:00,16.1,992.599976,2.8,308,24,19,14.14,17.78,996.13,7.08,11.33,37.76,13.409999999999997,24.35,0.578922
2019/03/05 10:15,15.6,992.799988,2.8,284,2,2,13.38,19.26,996.23,6.5,9.22,0.34,0.33,0.01,0.06617
2019/03/05 10:30,15.2,993.200012,3.2,300,0,0,12.77,20.61,996.33,6.18,6.64,0.0,0.0,0.0,0.0
2019/03/05 10:45,14.8,993.5,2.9,309,0,0,12.26,21.8,996.49,6.11,4.08,0.0,0.0,0.0,0.0
2019/03/05 11:00,14.5,993.599976,2.1,311,0,0,11.83,22.97,996.73,6.18,1.92,0.0,0.0,0.0,0.0
2019/03/05 11:15,14.0,994.099976,2.2,306,0,0,11.46,24.08,997.02,6.3,0.36,0.0,0.0,0.0,0.0
2019/03/05 11:30,13.8,994.299988,2.0,308,0,0,11.13,25.12,997.37,6.38,359.08,0.0,0.0,0.0,0.0
2019/03/05 11:45,13.3,994.400024,1.5,295,0,0,10.8,26.11,997.7,6.39,358.1,0.0,0.0,0.0,0.0
2019/03/05 12:00,13.5,994.599976,2.5,301,0,0,10.5,27.05,998.02,6.32,357.22,0.0,0.0,0.0,0.0
2019/03/05 12:15,13.1,994.799988,2.5,309,0,0,10.19,27.98,998.33,6.16,356.53,0.0,0.0,0.0,0.0
2019/03/05 12:30,13.0,995.099976,2.2,304,0,0,9.88,29.0,998.66,5.92,355.5,0.0,0.0,0.0,0.0
2019/03/05 12:45,13.1,995.299988,1.6,291,0,0,9.55,30.1,999.0,5.63,354.25,0.0,0.0,0.0,0.0
2019/03/05 13:00,13.0,995.400024,1.8,310,0,0,9.22,31.24,999.32,5.31,352.73,0.0,0.0,0.0,0.0
2019/03/05 13:15,13.1,995.599976,1.7,305,0,0,8.89,32.42,999.59,4.97,350.93,0.0,0.0,0.0,0.0
2019/03/05 13:30,12.5,996.0,2.3,306,0,0,8.55,33.62,999.82,4.6,348.83,0.0,0.0,0.0,0.0
2019/03/05 13:45,12.6,996.299988,1.9,290,0,0,8.2,34.86,999.89,4.23,345.81,0.0,0.0,0.0,0.0
2019/03/05 14:00,12.2,996.599976,4.2,315,0,0,7.88,35.99,999.99,3.9,341.91,0.0,0.0,0.0,0.0
2019/03/05 14:15,12.1,996.900024,3.3,298,0,0,7.6,36.93,1000.17,3.65,337.24,0.0,0.0,0.0,0.0
